Heure Locale	Origine	Compagnie	N° de Vol	Statut	N° du jour	N° du mois	Année
08:40:00	MITIGA	LIBYAN WINGS	YL800	ATTERRI 08:30	1	1	2021
09:50:00	JEDDAH	SAUDI ARAB	SV365	ATTERRI 09:52	1	1	2021
10:00:00	DJERBA	TUNISAIR EXPRESS	UG003	ATTERRI 10:23	1	1	2021
10:35:00	LE CAIRE	EGYPT AIR	MS843	ATTERRI 10:50	1	1	2021
11:15:00	MARSEILLE	TUNISAIR	TU931	ATTERRI 12:21	1	1	2021
11:25:00	LYON	TRANSAVIA	TO4990	ATTERRI 11:19	1	1	2021
11:35:00	NICE	TUNISAIR	TU997	ATTERRI 11:26	1	1	2021
11:50:00	MISRATE	LIBYAN WINGS	YL880	ATTERRI 11:29	1	1	2021
12:10:00	BENGHAZI	BURAQ AIR	UZ141	ATTERRI 12:07	1	1	2021
12:20:00	STRASBOURG	NOUVEL AIR	BJ529	ATTERRI 12:02	1	1	2021
12:35:00	PARIS ORLY	TUNISAIR	TU717	ATTERRI 12:47	1	1	2021
00:00:00	ZLHFFJJEDF564FFD	DJHD5DGSDG54GE	ZZZ999	102.159.152.111	1	1	2021
12:35:00	DUBAI	EMIRATES	EK747	ATTERRI 12:00	1	1	2021
13:35:00	DOHA	QATAR AIRWAYS	QR1399	ATTERRI 13:11	1	1	2021
13:55:00	MALTE	TUNISAIR EXPRESS	UG1301	ATTERRI 13:56	1	1	2021
13:55:00	FRANCFORT	TUNISAIR	TU745	ATTERRI 13:35	1	1	2021
14:00:00	PARIS ORLY	TRANSAVIA	TO4530	ATTERRI 14:01	1	1	2021
14:10:00	MUNICH	TUNISAIR	TU543	ATTERRI 14:08	1	1	2021
15:20:00	ISTANBUL	NOUVEL AIR	BJ651	ATTERRI 15:36	1	1	2021
15:35:00	DUSSELDORF	TUNISAIR	TU527	ATTERRI 16:24	1	1	2021
16:10:00	MITIGA	LIBYAN WINGS	YL820	ATTERRI 16:02	1	1	2021
16:30:00	PARIS CDG	AIR FRANCE	AF1184	ATTERRI 16:39	1	1	2021
17:15:00	DJERBA	TUNISAIR EXPRESS	UG009	ATTERRI 17:18	1	1	2021
18:00:00	PARIS CDG	NOUVEL AIR	BJ521	ATTERRI 17:58	1	1	2021
18:15:00	PARIS ORLY	TUNISAIR	TU719	ATTERRI 19:20	1	1	2021
18:35:00	ISTANBUL	TUNISAIR	TU215	ATTERRI 18:57	1	1	2021
18:40:00	PARIS CDG	AIR FRANCE	AF1284	ATTERRI 18:45	1	1	2021
18:45:00	PARIS ORLY	TRANSAVIA	TO4370	ATTERRI 18:20	1	1	2021
20:50:00	TOZEUR-NEFTA	TUNISAIR EXPRESS	UG031	ATTERRI 20:57	1	1	2021
21:50:00	PARIS ORLY	TUNISAIR	TU723	ATTERRI 21:14	1	1	2021
08:15:00	MITIGA	LYBIAN AIRLINES	LN302	ATTERRI 08:00	2	1	2021
08:40:00	MITIGA	LIBYAN WINGS	YL800	ATTERRI 08:35	2	1	2021
09:35:00	PARIS CDG	AIR FRANCE	AF1084	ATTERRI 09:26	2	1	2021
09:35:00	PARIS ORLY	TRANSAVIA	TO4160	ATTERRI 09:31	2	1	2021
10:00:00	ISTANBUL	TURKISH AIRLINES	TK661	ATTERRI 10:00	2	1	2021
10:25:00	JEDDAH	SAUDI ARAB	SV3365	ATTERRI 10:29	2	1	2021
10:35:00	LE CAIRE	EGYPT AIR	MS843	ATTERRI 11:16	2	1	2021
11:15:00	MARSEILLE	TUNISAIR	TU931	ATTERRI 11:20	2	1	2021
12:10:00	BENGHAZI	BURAQ AIR	UZ141	ATTERRI 12:06	2	1	2021
12:35:00	PARIS ORLY	TUNISAIR	TU717	ATTERRI 14:11	2	1	2021
00:00:00	ZLHFFJJEDF564FFD	DJHD5DGSDG54GE	ZZZ999	102.159.152.111	2	1	2021
13:15:00	GENEVE	TUNISAIR	TU701	ATTERRI 12:57	2	1	2021
14:00:00	BRUXELLES	TUNISAIR	TU789	ATTERRI 13:57	2	1	2021
14:35:00	NICE	NOUVEL AIR	BJ535	ATTERRI 14:42	2	1	2021
14:50:00	PARIS ORLY	TUNISAIR	TU719	ATTERRI 14:29	2	1	2021
15:25:00	PARIS ORLY	TUNISAIR	TU721	ATTERRI 16:19	2	1	2021
16:10:00	MITIGA	LIBYAN WINGS	YL820	ATTERRI 15:49	2	1	2021
16:30:00	PARIS CDG	AIR FRANCE	AF1184	ATTERRI 16:53	2	1	2021
17:15:00	CASABLANCA	ROYAL AIR MAROC	AT572	ATTERRI 16:59	2	1	2021
17:15:00	DJERBA	TUNISAIR EXPRESS	UG009	ATTERRI 17:56	2	1	2021
17:55:00	ROME	ALITALIA	AZ866	ATTERRI 17:40	2	1	2021
18:00:00	PARIS CDG	NOUVEL AIR	BJ521	ATTERRI 17:53	2	1	2021
18:45:00	PARIS ORLY	TRANSAVIA	TO4370	ATTERRI 18:26	2	1	2021
18:45:00	NICE	TUNISAIR	TU997	ATTERRI 18:33	2	1	2021
19:15:00	LYON	TUNISAIR	TU861	ATTERRI 19:24	2	1	2021
19:40:00	NOUAKCHOTT	MAURITANIE AIRWAYS	L6116	ATTERRI 19:28	2	1	2021
20:55:00	TOULOUSE	TUNISAIR	TU283	ATTERRI 21:12	2	1	2021
21:25:00	PARIS ORLY	TUNISAIR	TU723	ATTERRI 21:21	2	1	2021
00:25:00	FRANCFORT	LUFTHANSA	LH1326	ATTERRI 00:49	3	1	2021
03:25:00	ISTANBUL	TUNISAIR	TU217	ATTERRI 03:07	3	1	2021
05:30:00	MONTREAL	TUNISAIR	TU203	ATTERRI 05:41	3	1	2021
08:05:00	LYON	TRANSAVIA	TO4990	ATTERRI 07:52	3	1	2021
08:40:00	MITIGA	LIBYAN WINGS	YL800	ATTERRI 08:19	3	1	2021
08:45:00	PARIS ORLY	TRANSAVIA	TO4530	ATTERRI 08:29	3	1	2021
08:50:00	MONTPELLIER	TRANSAVIA	TO4782	ATTERRI 08:24	3	1	2021
09:35:00	PARIS CDG	AIR FRANCE	AF1084	ATTERRI 09:37	3	1	2021
10:00:00	DJERBA	TUNISAIR EXPRESS	UG003	ATTERRI 10:14	3	1	2021
10:35:00	LE CAIRE	EGYPT AIR	MS843	ATTERRI 11:27	3	1	2021
00:00:00	ZLHFFJJEDF564FFD	DJHD5DGSDG54GE	ZZZ999	102.159.152.111	3	1	2021
